SraId,simpson,observed_features,chao1,shannon,
SRR5070392,0.9905414202586922,323.0,323.0,7.471125775130547,
SRR5070394,0.9899299002117192,249.0,249.0,7.212529129588281,
SRR18489188,0.9924309745048089,2882.0,3059.5597014925374,9.934230083912691,
SRR18489189,0.75,4.0,4.0,2.0,
SRR3344234,0.9520635231840016,37.0,45.27272727272727,4.787758846253686,
SRR3344236,0.963436385255648,39.0,39.625,5.042272608616376,
SRR14132737,0.996089170080133,1661.0,1661.0,9.334868456961614,
SRR14132739,0.9963727148016411,1628.0,1628.0,9.285910634974877,
SRR14132738,0.9942340458281359,1587.0,1587.0,9.053633011227944,
SRR5070436,0.9910762103690348,281.0,281.0,7.33985180039802,
SRR16768001,0.9930479115321003,701.0,701.0,8.49795325415295,
SRR17012277,0.9968792048869771,1490.0,1503.148148148148,9.431263364824408,
SRR17012278,0.9961733154975655,1585.0,1595.2837209302324,9.382981616988975,
SRR14132731,0.9944150455915979,1834.0,1834.0,9.267327811351958,
SRR17012275,0.9828658629363695,1348.0,1359.171875,8.44967551652574,
SRR14132730,0.9964498098437032,1908.0,1908.0,9.566223164080684,
SRR17012276,0.9894851033683817,1264.0,1276.760736196319,8.597167691395368,
SRR14132733,0.9943840030786331,1827.0,1827.0,9.40482790592497,
SRR14132732,0.9959840186893553,1882.0,1882.0,9.460953581424565,
SRR14132735,0.9956145354445793,1685.0,1685.0,9.271653355439424,
SRR17012279,0.9968898523496041,1569.0,1587.826923076923,9.428542986308587,
SRR14132734,0.9952459711751312,1742.0,1742.0,9.34668896420595,
SRR17012274,0.9868235882651492,1315.0,1325.2670807453417,8.395038119540102,
SRR21497195,0.9897436456891753,499.0,499.0,7.685693369633088,
SRR14132726,0.9958851295118967,1717.0,1717.0,9.356475151050846,
SRR14132728,0.9970340704639319,2002.0,2002.0,9.659477578728183,
SRR14132727,0.9930588810958546,1939.0,1939.0,9.356735079531658,
SRR14132729,0.9951325600747708,1976.0,1976.0,9.470498896701784,
SRR17012288,0.9745184030214507,949.0,957.7328767123288,7.299581529240914,
SRR17012289,0.9891963209093886,1005.0,1019.0503597122303,8.060280524948693,
SRR14132720,0.9955446798780369,1739.0,1739.0,9.365356546597212,
SRR17012286,0.9978882916517341,1756.0,1775.958904109589,9.749332268306,
SRR17012287,0.9872462648581144,1055.0,1064.746835443038,7.9002001532735395,
SRR14132722,0.9966286913913209,1885.0,1885.0,9.652634384695197,
SRR18489207,0.9949853507760092,2466.0,2606.2743902439024,9.684330018409836,
SRR14132721,0.9952061593463161,1775.0,1775.0,9.349117186935564,
SRR18489208,0.9971670892070422,2415.0,2560.125,9.919938080477138,
SRR14132724,0.993691762116069,1555.0,1555.0,9.107262284256175,
SRR14132723,0.9948975986617691,1827.0,1827.0,9.379567972499792,
SRR21429936,0.9921395188351867,1177.0,1202.5373134328358,8.978490377872474,
SRR17012281,0.9933391440955522,1423.0,1439.3636363636363,8.995581727866028,
SRR21429935,0.9875445852586349,1060.0,1072.857142857143,8.658968620644696,
SRR21429934,0.8412917421926431,22.0,22.0,3.3898345984730387,
SRR17012284,0.9977308219258246,1788.0,1801.6093023255814,9.773387427826691,
SRR17012285,0.9978056509824879,1787.0,1801.6714285714286,9.774855650595573,
SRR21429939,0.7453598913535536,10.0,10.0,2.5198920414838097,
SRR17012282,0.9930716009287157,1511.0,1522.5759162303666,8.943871105655612,
SRR21429938,0.9930201074632176,528.0,537.375,8.201990892053265,
SRR17012283,0.9951280793379995,1485.0,1499.1089108910892,9.052751850094385,
SRR21429937,0.99601579064039,1131.0,1161.5,9.23869056269629,
SRR14132715,0.9942001857501229,1689.0,1689.0,9.139949579782142,
SRR14132717,0.9947930269588271,1738.0,1738.0,9.241029177879383,
SRR14132716,0.99598756835666,1778.0,1778.0,9.456502243536226,
SRR14132719,0.9856265161363347,1561.0,1561.0,8.457570627646879,
SRR14132718,0.9945731567701883,1730.0,1730.0,9.153767869548638,
